Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
prediction,"Forecasting quantitative or qualitative outputs through function approximation, applied on input data or measurements.",NSCAI,primary output of an AI system when provided with input data or information,"aime_measurement_2022, citing ISO/IEC 22989",,,,,,,,
predictive analysis,The organization of analyses of structured and unstructured data for inference and correlation that provides a useful predictive capability to new circumstances or data.,IEEE_Guide_IPA,,,,,,,,,,
predictive analytics,"Insights, reporting, and information answering the question, ""What is likely to happen?"" Predictive analytics support high confidence foretelling of future event(s).",IEEE_Guide_IPA,,,,,,,,,,
preprocessing,Transforming the data so that the underlying discrimination is mitigated. This method can be used if a modeling pipeline is allowed to modify the training data.,SP1270,,,,,,,,,,
prescriptive analytics,"Insights, reporting, and information answering the question, “What should I do about it?"" Prescriptive analytics determines information that provides high confidence actions necessary to recover from an event or fulfill a need.",IEEE_Guide_IPA,,,,,,,,,,
privacy,freedom from intrusion into the private life or affairs of an individual,ISO/IEC_TS_5723:2022(en),"freedom from intrusion into the private lifeor affairs of an individual when that intrusion results from undue or illegalgathering and use of data about that individual","aime_measurement_2022, citing ISO/IEC TR 24029-1",,,,,,,,
privacy-by-design,Embedding privacy measures and privacy enhancing technologies directly into the design of information technologies and systems.,ENISA,,,,,,,,,data-protection-by-design (def: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02016R0679-20160504&qid=1532348683434),
privacy-enhancing technology,"A coherent system of ICT (Information and Communications Technology) measures that protects privacy by eliminating or reducing personal data or by preventing unnecessary and/or undesired processing of personal data, all without losing the functionality of the information system.",PET_Handbook,,,,,,,,,,
privileged protected attribute,A value of a protected attribute indicating a group that has historically been at systematic advantage.,AI_Fairness_360,,,,,,,,,,
procedure,"Information item that presents an ordered series of steps to perform a process, activity, or task.",IEEE_Soft_Vocab,,,,,,,,,,
process,"A sequence or flow of activities in an organization with the objective of carrying out work, which may include a set of activities, events, tasks, and decisions in a sequenced flow that adhere to finite execution semantics. Process levels will generally follow structure at the capability maturity model integration (CMMI) level.",IEEE_Guide_IPA,Set of interrelated or interacting activities that transforms inputs into outputs,IEEE_Soft_Vocab,,,,,,,,
